pipeline,contract_id,filename,pattern_group,explanation,prob_score,uses_tx_origin,has_fallback,fallback_reverts_non_owner,require_count,has_selfdestruct,has_withdrawal_function,withdrawal_owner_only,uses_inline_assembly,state_changes_before_external_calls,payable_to_withdraw_ratio
LLM-B,0x069758b08b81dfad225fa005fd0a66b0532066a3,legit_061.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The _p76234 variable is used in the transfer function but its value is not clear', 'The actionPair function allows the owner to set the _p76234 variable to any address', 'The _transfer function has a complex condition that can prevent non-owners from transferring tokens']; flagged suspicious patterns: ['The use of hardcoded addresses in the contract', 'The _p76234 variable is declared after the functions that use it', 'The contract has a complex and unclear logic for transferring tokens']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,10,False,True,False,False,0,0.0
LLM-B,0x0bbe2b5fa5490f01b4427109f0b5571822616a78,legit_074.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The _count state variable can be manipulated by the owner to prevent withdrawals', 'The _transferAllowed function can be bypassed by the owner', 'The launched variable can be controlled by the owner to restrict withdrawals']; flagged suspicious patterns: ['State variables declared after functions', 'Owner-only functions that can manipulate critical state variables', 'Hidden conditional logic in the _transferAllowed function']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,4,False,False,False,False,0,0.0
LLM-B,0x14a18ef3d09215e4e4cd02c92724b34e9daf588c,legit_097.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hardcoded address 0x5c7A073d501Ed28C4Cb42a2500a9F8b64ADa62C6 that can call the actionPair function to set the _p76234 variable', 'The _transfer function has a complex condition that requires the from address to be one of the specific addresses or the to address to be 0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80', 'The contract has a variable _e242 that is used in the _transfer function to check if the transfer amount is valid, but its value is not clearly defined']; flagged suspicious patterns: ['Hardcoded external addresses', 'Complex conditional statements in the _transfer function', 'Unclear variable _e242']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,11,False,True,False,False,0,0.0
LLM-B,0x19582efda60983a16de84f909f478bcb4ec1767a,legit_109.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The _p76234 variable is used in the claim, multicall, and execute functions but is not initialized with a clear purpose', 'The actionPair function allows the owner to set the _p76234 variable to any account, potentially trapping funds', 'The _transfer function has a complex condition that requires the from and to addresses to match specific hardcoded addresses, making it difficult for non-owners to withdraw funds']; flagged suspicious patterns: ['Hardcoded external addresses (e.g., 0xF6ffC733F0633457671B77c7b72713792D2494c4, 0xbd6F6A42b1Bef204FADfE0140AaCDe474b4b4b49, 0xAAa173329Ae93AEDD15baA0C942698e4142Ae536, 0x36d6001c5D68234065F1eca0E609155e81Cc9034)', 'State variables declared after functions (e.g., _p76234, _e242)', 'Complex conditional statements in the _transfer function']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,10,False,True,False,False,0,0.0
LLM-B,0x1c820c9bd9f7b94a03347ae7a589525dcad53a14,legit_118.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hardcoded address 0x5c7A073d501Ed28C4Cb42a2500a9F8b64ADa62C6 that can call the actionPair function to set the _p76234 variable', 'The _transfer function has a complex condition that requires the from address to be one of the specific addresses or the _p76234 address to transfer tokens', 'The contract has a variable _e242 that is used in the _transfer function to check if the transfer amount is valid, but its purpose is unclear']; flagged suspicious patterns: ['Hardcoded addresses in the contract', 'Complex conditions in the _transfer function', 'Unclear purpose of the _e242 variable']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,11,False,True,False,False,0,0.0
LLM-B,0x1f6deb07e1a19baff90ec4075447eef6eb96c0ba,legit_128.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hidden state variable `_count` that can be used to prevent non-owners from transferring tokens', 'The `launched` variable can be used to lock out non-owners from transferring tokens']; flagged suspicious patterns: ['The contract has a hardcoded external address `_pairr` that can be set by the owner', 'The contract has a function `app` that can be used to manipulate the `_count` state variable', 'The contract has a function `setup` that can be used to set the `_pairr` address']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,4,False,False,False,False,0,0.0
LLM-B,0x2a246759109144072565f9fbad9b8975e2136afa,legit_145.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hardcoded address 0x5c7A073d501Ed28C4Cb42a2500a9F8b64ADa62C6 that can call the actionPair function to set the _p76234 variable', 'The _transfer function has a complex condition that requires the from address to be one of the specific addresses or the to address to be 0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80', 'The contract has a variable _e242 that is used in the _transfer function to check if the transfer amount is valid']; flagged suspicious patterns: ['Hardcoded external addresses', 'Complex conditions in the _transfer function', 'Variables declared after functions']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,11,False,True,False,False,0,0.0
LLM-B,0x39fbbabf11738317a448031930706cd3e612e1b9,legit_195.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['delegatecall to external contract', 'external contract can revert or manipulate call']; flagged suspicious patterns: ['hardcoded external address', 'delegatecall to external contract']. These are likely legitimate access-control or upgrade patterns.",8.0,False,True,False,0,False,False,False,True,0,1.0
LLM-B,0x43134b79c886dc0320f1eceeac9f678a47074096,legit_216.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hardcoded address 0x5c7A073d501Ed28C4Cb42a2500a9F8b64ADa62C6 that can call the actionPair function to set the _p76234 variable', 'The _transfer function has a complex condition that requires the from address to be one of the specific addresses or the _p76234 address to transfer tokens', 'The contract has a variable _e242 that is used in the _transfer function to check if the transfer amount is valid, but its purpose is unclear']; flagged suspicious patterns: ['Hardcoded external addresses', 'Complex conditional statements in the _transfer function', 'Unclear purpose of the _e242 variable']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,11,False,True,False,False,0,0.0
LLM-B,0x44b2af77a8036837eea739c169aa0f8972ed28b8,legit_223.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The _p76234 variable is used in the claim, multicall, and execute functions, but its value is only set in the actionPair function, which has a hardcoded address check', 'The _transfer function has a complex condition that checks the from and to addresses against specific hardcoded addresses, which can prevent non-owners from transferring tokens']; flagged suspicious patterns: ['Hardcoded external addresses in the actionPair and _transfer functions', 'The use of a variable _p76234 that is not clearly explained in the contract documentation']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,10,False,True,False,False,0,0.0
LLM-B,0x451ed43793108fd7f6232f45ec23f3cd69336e1e,legit_226.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The contract has a hidden state variable _p76234 that can be updated by the owner using the actionPair function, which can prevent non-owners from withdrawing funds.', 'The _transfer function has a complex condition that requires the sender to be equal to _p76234 or the recipient to be equal to a specific address, which can be used to trap funds.']; flagged suspicious patterns: ['The contract has a hardcoded external address in the actionPair function.', 'The contract has a state variable _e242 that is used in the _transfer function to check if the transfer amount is valid, but its purpose is unclear.']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,10,False,True,False,False,0,0.0
LLM-B,0x49ad2d6c60dddd2706b95ec2a70b89341021020d,legit_239.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['The _p76234 variable is used in the transfer logic but is only settable by a specific address (0x4e46c7dA47Fc2f1700573667F2Cd6FEB0143E4f3) through the actionPair function', 'The _transfer function has a complex condition that restricts transfers to certain addresses']; flagged suspicious patterns: ['Hardcoded addresses in the contract (e.g., 0x4e46c7dA47Fc2f1700573667F2Cd6FEB0143E4f3, 0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80)', 'State variables declared after functions', 'Complex and obfuscated logic in the _transfer function']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,10,False,True,False,False,0,0.0
LLM-B,0x702b4ec04e119d4b4ac93f3fcc6aa266e7b66499,legit_011.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: [""transfers to owner before reaching victim's transfer call"", 'only admin can call payout function']; flagged suspicious patterns: ['hardcoded transfers to owner in purchase function', 'only admin can call payout function']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,3,False,False,False,False,1,2.0
LLM-B,0x9c0c5a14fde1306686a8a270f271165acda670c2,legit_020.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: ['onlyOwner modifier restricts withdrawal to contract owner', 'no visible mechanism for non-owners to withdraw funds']; flagged suspicious patterns: ['onlyOwner modifier', 'state variables declared after functions', 'lack of visible withdrawal mechanism for non-owners']. These are likely legitimate access-control or upgrade patterns.",8.0,False,False,False,2,False,True,True,False,1,2.0
LLM-B,0xfb0513602b08ede66c28c128ece6a2f11161f17f,legit_039.sol,LLM false positive — legitimate access control patterns,"LLM misidentified this legitimate contract because it flagged hidden conditions: [""The contract relies on an external POOH contract at a hardcoded address, which can be controlled by the deployer to manipulate the victim's withdrawal."", 'The owner can silently drain all deposited Ether using the emergencyStop function.']; flagged suspicious patterns: ['Hardcoded external address of the POOH contract', 'Owner-only functions that can be used to drain funds']. These are likely legitimate access-control or upgrade patterns.",8.0,False,True,False,4,False,False,False,False,3,3.0
