pipeline,contract_id,filename,true_type,pattern_group,explanation,prob_score,uses_tx_origin,has_fallback,fallback_reverts_non_owner,require_count,has_selfdestruct,has_withdrawal_function,withdrawal_owner_only,uses_inline_assembly,state_changes_before_external_calls,payable_to_withdraw_ratio
Static-LR,0xa395480a4a90c7066c8ddb5db83e2718e750641c,hp_212.sol,skip_empty_string_literal,"Partial signal only (skip_empty_string_literal, 2/10 features active)","This skip_empty_string_literal honeypot has 2 active features (has_withdrawal_function, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. ABI encoder quirk skips empty string literals, shifting argument positions.",0.2339,False,False,False,0,False,True,False,False,0,2.0
Static-LR,0xaa12936a79848938770bdbc5da0d49fe986678cc,hp_213.sol,skip_empty_string_literal,"Partial signal only (skip_empty_string_literal, 2/10 features active)","This skip_empty_string_literal honeypot has 2 active features (has_withdrawal_function, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. ABI encoder quirk skips empty string literals, shifting argument positions.",0.2339,False,False,False,0,False,True,False,False,0,2.0
Static-LR,0xd022969da8a1ace11e2974b3e7ee476c3f9f99c6,hp_214.sol,skip_empty_string_literal,"Partial signal only (skip_empty_string_literal, 2/10 features active)","This skip_empty_string_literal honeypot has 2 active features (has_withdrawal_function, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. ABI encoder quirk skips empty string literals, shifting argument positions.",0.2339,False,False,False,0,False,True,False,False,0,2.0
Ensemble-LR,0x01b21934ba28dfd8a22c4d21c710290500a5081f,hp_251.sol,uninitialised_struct,"Partial signal only (uninitialised_struct, 4/10 features active)","This uninitialised_struct honeypot has 4 active features (has_fallback, require_count, has_selfdestruct, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Uninitialised struct storage pointer overwrites owner address.",0.3801,False,True,False,1,True,False,False,False,2,2.0
Ensemble-LR,0x04baddfb21723ec467e9993b715c5e0d673bac96,hp_252.sol,uninitialised_struct,"Partial signal only (uninitialised_struct, 4/10 features active)","This uninitialised_struct honeypot has 4 active features (has_fallback, require_count, has_selfdestruct, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Uninitialised struct storage pointer overwrites owner address.",0.3801,False,True,False,1,True,False,False,False,2,2.0
Ensemble-LR,0x13b87fb8e6152032fd525f64f158c129a230b6ee,hp_254.sol,uninitialised_struct,"Partial signal only (uninitialised_struct, 4/10 features active)","This uninitialised_struct honeypot has 4 active features (has_fallback, require_count, has_selfdestruct, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Uninitialised struct storage pointer overwrites owner address.",0.3148,False,True,False,1,True,False,False,False,2,2.0
Ensemble-LR,0x33685492a20234101b553d2a429ae8a6bf202e18,hp_173.sol,inheritance_disorder,"Partial signal only (inheritance_disorder, 3/10 features active)","This inheritance_disorder honeypot has 3 active features (has_fallback, require_count, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Inheritance overrides a critical function the investor expects to call.",0.4172,False,True,False,2,False,False,False,False,2,1.0
Ensemble-LR,0x3d8a10ce3228cb428cb56baa058d4432464ea25d,hp_155.sol,hidden_transfer,"Partial signal only (hidden_transfer, 3/10 features active)","This hidden_transfer honeypot has 3 active features (require_count, has_withdrawal_function, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Owner drains funds via a concealed transfer in a callback.",0.3621,False,False,False,1,False,True,False,False,0,3.0
Ensemble-LR,0x413c8657b6e6fa2b433db62271e662a470de4ba0,hp_261.sol,uninitialised_struct,"Partial signal only (uninitialised_struct, 4/10 features active)","This uninitialised_struct honeypot has 4 active features (has_fallback, require_count, has_selfdestruct, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Uninitialised struct storage pointer overwrites owner address.",0.3801,False,True,False,1,True,False,False,False,2,2.0
Ensemble-LR,0x50ddfe3722fc303cace413df41db23d55025e2e6,hp_183.sol,inheritance_disorder,"Partial signal only (inheritance_disorder, 3/10 features active)","This inheritance_disorder honeypot has 3 active features (has_fallback, require_count, payable_to_withdraw_ratio) but was still missed — likely because the deceptive pattern is subtle. Inheritance overrides a critical function the investor expects to call.",0.4172,False,True,False,2,False,False,False,False,2,1.0
