contract_id,filename,true_label,true_honeypot_type,parse_success,raw_response,withdrawal_possible_for_non_owner,explanation,deception_risk_score,honeypot_type,is_honeypot,hidden_conditions,suspicious_patterns
0x0bf0f154b176c5d90f24e506f10f7f583eb5334d,hp_001.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance can be silently inflated by the owner, making the condition msg.value > this.balance impossible to satisfy""],
  ""suspicious_patterns"": [""state variable declared before functions"", ""owner can silently inflate contract balance""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition msg.value > this.balance and claim the jackpot. The contract's design allows the owner to drain all deposited Ether. The requirement for msg.value to exceed the contract's balance creates a condition that is practically unachievable once the owner tops up the balance.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition msg.value > this.balance and claim the jackpot. The contract's design allows the owner to drain all deposited Ether. The requirement for msg.value to exceed the contract's balance creates a condition that is practically unachievable once the owner tops up the balance.",8,balance_disorder,True,"['the contract balance can be silently inflated by the owner, making the condition msg.value > this.balance impossible to satisfy']","['state variable declared before functions', 'owner can silently inflate contract balance']"
0x0e77cb9d68b8bf3cc41561f8eda6c71e4a4b9ef7,hp_002.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance must be exceeded by the sender's value, which can be silently inflated by the owner""],
  ""suspicious_patterns"": [""state variable declared before functions"", ""require statement limiting withdrawal to owner only""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the winning condition. The contract's design allows the owner to withdraw funds while preventing non-owners from doing so. The requirement for the sender's value to exceed the contract balance creates a condition that can be manipulated by the owner.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the winning condition. The contract's design allows the owner to withdraw funds while preventing non-owners from doing so. The requirement for the sender's value to exceed the contract balance creates a condition that can be manipulated by the owner.",8,balance_disorder,True,"[""the contract balance must be exceeded by the sender's value, which can be silently inflated by the owner""]","['state variable declared before functions', 'require statement limiting withdrawal to owner only']"
0x15d0e6cedd8ecc39daa60c63a3a5830eeca7d720,hp_003.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the condition msg.value > this.balance is practically unachievable once the owner tops up the balance""],
  ""suspicious_patterns"": [""hardcoded secret number hash"", ""state variable declared before functions""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the condition msg.value > this.balance is practically unachievable once the owner tops up the balance, preventing non-owners from withdrawing funds. The owner can silently inflate the contract balance, making the condition impossible for victims to satisfy. The contract's design allows the owner to drain all deposited Ether.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the condition msg.value > this.balance is practically unachievable once the owner tops up the balance, preventing non-owners from withdrawing funds. The owner can silently inflate the contract balance, making the condition impossible for victims to satisfy. The contract's design allows the owner to drain all deposited Ether.",8,balance_disorder,True,['the condition msg.value > this.balance is practically unachievable once the owner tops up the balance'],"['hardcoded secret number hash', 'state variable declared before functions']"
0x1ebf20031b03b80e5f6fdbeb9f86d44145224006,hp_004.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance must be exceeded by the sender's value, which can be inflated by the owner""],
  ""suspicious_patterns"": [""payable function with no clear purpose"", ""owner can silently inflate contract balance""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition of sending a value greater than or equal to the contract balance. The contract's design allows the owner to drain all deposited Ether, while preventing non-owners from withdrawing funds.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition of sending a value greater than or equal to the contract balance. The contract's design allows the owner to drain all deposited Ether, while preventing non-owners from withdrawing funds.",8,balance_disorder,True,"[""the contract balance must be exceeded by the sender's value, which can be inflated by the owner""]","['payable function with no clear purpose', 'owner can silently inflate contract balance']"
0x35c3034556b81132e682db2f879e6f30721b847c,hp_005.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance can be silently inflated by the owner, making the condition in the Take function impossible to satisfy""],
  ""suspicious_patterns"": [""hardcoded pin code"", ""owner can silently inflate contract balance""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to withdraw funds. The Take function requires the sender to send a value greater than or equal to the contract balance, which can be manipulated by the owner. This makes it unlikely for a non-owner to successfully withdraw funds.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to withdraw funds. The Take function requires the sender to send a value greater than or equal to the contract balance, which can be manipulated by the owner. This makes it unlikely for a non-owner to successfully withdraw funds.",8,balance_disorder,True,"['the contract balance can be silently inflated by the owner, making the condition in the Take function impossible to satisfy']","['hardcoded pin code', 'owner can silently inflate contract balance']"
0x3bafb3af16203c817ee9208c6b8a748398dae689,hp_006.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance can be silently inflated by the owner, making the condition in the multiply function impossible to satisfy""],
  ""suspicious_patterns"": [""hardcoded owner address"", ""state variable declared before functions""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance_disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition in the multiply function. The contract's design allows the owner to drain all deposited Ether, while preventing victims from withdrawing funds. The contract's legitimacy is further questionable due to the lack of access control and the ability of the owner to transfer funds at will.""
}",False,"The contract appears to be a honeypot due to the balance_disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition in the multiply function. The contract's design allows the owner to drain all deposited Ether, while preventing victims from withdrawing funds. The contract's legitimacy is further questionable due to the lack of access control and the ability of the owner to transfer funds at will.",8,balance_disorder,True,"['the contract balance can be silently inflated by the owner, making the condition in the multiply function impossible to satisfy']","['hardcoded owner address', 'state variable declared before functions']"
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,hp_007.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance must be exceeded by the sender's value to trigger a payout, but the owner can silently inflate the contract balance""],
  ""suspicious_patterns"": [""hardcoded owner address"", ""state variable declared before functions"", ""function multiplicate has a condition that is practically unachievable once the owner tops up the balance""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition in the multiplicate function. The contract's design allows the owner to drain all deposited Ether. Non-owners cannot withdraw funds due to the require statement in the withdraw function.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition in the multiplicate function. The contract's design allows the owner to drain all deposited Ether. Non-owners cannot withdraw funds due to the require statement in the withdraw function.",8,balance_disorder,True,"[""the contract balance must be exceeded by the sender's value to trigger a payout, but the owner can silently inflate the contract balance""]","['hardcoded owner address', 'state variable declared before functions', 'function multiplicate has a condition that is practically unachievable once the owner tops up the balance']"
0x5aa88d2901c68fda244f1d0584400368d2c8e739,hp_008.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance must be exceeded by the sender's value to trigger a payout, but the owner can silently inflate the balance""],
  ""suspicious_patterns"": [""hardcoded owner address"", ""state variable declared before functions"", ""function multiplicate has a condition that is practically unachievable once the owner tops up the balance""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition in the multiplicate function. The contract's design allows the owner to drain all deposited Ether while preventing victims from withdrawing funds. The presence of a hardcoded owner address and a state variable declared before functions also raises suspicions.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for victims to satisfy the condition in the multiplicate function. The contract's design allows the owner to drain all deposited Ether while preventing victims from withdrawing funds. The presence of a hardcoded owner address and a state variable declared before functions also raises suspicions.",8,balance_disorder,True,"[""the contract balance must be exceeded by the sender's value to trigger a payout, but the owner can silently inflate the balance""]","['hardcoded owner address', 'state variable declared before functions', 'function multiplicate has a condition that is practically unachievable once the owner tops up the balance']"
0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9,hp_009.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the credit function requires msg.value to exceed the contract's current balance, which can be inflated by the owner""],
  ""suspicious_patterns"": [""state variable declared after functions"", ""hardcoded conditions in the credit function""],
  ""explanation"": ""The contract has a high deception risk due to the balance disorder honeypot type, where the credit function requires the sender's value to exceed the contract's current balance, which can be silently inflated by the owner. The contract's design allows the owner to drain all deposited Ether, while preventing victims from successfully claiming funds.""
}",False,"The contract has a high deception risk due to the balance disorder honeypot type, where the credit function requires the sender's value to exceed the contract's current balance, which can be silently inflated by the owner. The contract's design allows the owner to drain all deposited Ether, while preventing victims from successfully claiming funds.",8,balance_disorder,True,"[""the credit function requires msg.value to exceed the contract's current balance, which can be inflated by the owner""]","['state variable declared after functions', 'hardcoded conditions in the credit function']"
0x69bfbf000bd39444af2efba733829b04211252bc,hp_010.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""msg.value must be greater than or equal to the contract balance"", ""the contract owner can silently inflate the contract balance""],
  ""suspicious_patterns"": [""state variable declared before functions"", ""require statement that only allows the owner to withdraw""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition in the Play function. The contract's design allows the owner to withdraw all funds, while non-owners are trapped by the condition that requires their deposit to be greater than or equal to the contract balance. The use of a private owner variable and a require statement that only allows the owner to withdraw further supports this conclusion.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to satisfy the condition in the Play function. The contract's design allows the owner to withdraw all funds, while non-owners are trapped by the condition that requires their deposit to be greater than or equal to the contract balance. The use of a private owner variable and a require statement that only allows the owner to withdraw further supports this conclusion.",8,balance_disorder,True,"['msg.value must be greater than or equal to the contract balance', 'the contract owner can silently inflate the contract balance']","['state variable declared before functions', 'require statement that only allows the owner to withdraw']"
0x92e63be3a88df80f64ba4f829dd7ddf97e8b750b,hp_011.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance can be silently inflated by the owner, making the condition in the Later function impossible to satisfy""],
  ""suspicious_patterns"": [""hardcoded owner address"", ""state variable declared before functions""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to withdraw funds. The Later function has a condition that requires the sender to send at least the current contract balance, which can be topped up by the owner at any time. This makes it practically unachievable for victims to satisfy the condition and withdraw funds.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the owner can silently inflate the contract balance, making it impossible for non-owners to withdraw funds. The Later function has a condition that requires the sender to send at least the current contract balance, which can be topped up by the owner at any time. This makes it practically unachievable for victims to satisfy the condition and withdraw funds.",8,balance_disorder,True,"['the contract balance can be silently inflated by the owner, making the condition in the Later function impossible to satisfy']","['hardcoded owner address', 'state variable declared before functions']"
0x9cdfd805d73b4837bf3f7b2296996aaecc881e86,hp_012.sol,honeypot,balance_disorder,True,"{
  ""deception_risk_score"": 8,
  ""is_honeypot"": true,
  ""honeypot_type"": ""balance_disorder"",
  ""withdrawal_possible_for_non_owner"": false,
  ""hidden_conditions"": [""the contract balance must be exceeded by the sender's value"", ""the sender must know the correct pin code""],
  ""suspicious_patterns"": [""payable function with no clear purpose"", ""requirement to send money to prevent random guesses""],
  ""explanation"": ""The contract appears to be a honeypot due to the balance disorder deception type, where the sender must send a value greater than or equal to the contract's balance to withdraw funds. This condition is practically unachievable once the owner tops up the balance, making it a likely honeypot.""
}",False,"The contract appears to be a honeypot due to the balance disorder deception type, where the sender must send a value greater than or equal to the contract's balance to withdraw funds. This condition is practically unachievable once the owner tops up the balance, making it a likely honeypot.",8,balance_disorder,True,"[""the contract balance must be exceeded by the sender's value"", 'the sender must know the correct pin code']","['payable function with no clear purpose', 'requirement to send money to prevent random guesses']"
